symbol,timestamp,open,high,low,close,spread
EURUSD,1605657600,1.18617,1.18617,1.18608,1.18611,25
EURUSD,1605657660,1.1861,1.1862,1.18607,1.1862,23
EURUSD,1605657720,1.18619,1.1862300000000001,1.18618,1.1862,22
EURUSD,1605657780,1.1862,1.18622,1.18615,1.18615,23
EURUSD,1605657840,1.18615,1.18619,1.1861,1.18613,23
EURUSD,1605657900,1.18613,1.18615,1.1861,1.1861,22
EURUSD,1605657960,1.18611,1.18612,1.1861,1.18611,23
EURUSD,1605658020,1.18611,1.18612,1.18608,1.18612,20
EURUSD,1605658080,1.18612,1.18617,1.1861,1.18615,21
EURUSD,1605658140,1.18614,1.18614,1.18608,1.1861,23
EURUSD,1605658200,1.18613,1.18618,1.18605,1.18607,20
EURUSD,1605658260,1.18609,1.18609,1.186,1.18601,22
EURUSD,1605658320,1.18601,1.18609,1.18601,1.18606,21
EURUSD,1605658380,1.18605,1.18607,1.18596,1.1859899999999999,19
EURUSD,1605658440,1.1859899999999999,1.18603,1.18597,1.18601,21
EURUSD,1605658500,1.186,1.18617,1.18597,1.18616,19
EURUSD,1605658560,1.18616,1.18621,1.18607,1.18612,19
EURUSD,1605658620,1.18612,1.18615,1.18608,1.18608,18
EURUSD,1605658680,1.18608,1.18616,1.18606,1.18615,19
EURUSD,1605658740,1.18614,1.18614,1.18609,1.18612,19
EURUSD,1605658800,1.18612,1.18621,1.18611,1.18618,20
EURUSD,1605658860,1.18618,1.18618,1.18598,1.186,20
EURUSD,1605658920,1.18601,1.18608,1.186,1.18608,21
EURUSD,1605658980,1.18608,1.18608,1.18602,1.18603,21
EURUSD,1605659040,1.18603,1.18608,1.18603,1.18608,21
EURUSD,1605659100,1.18608,1.18608,1.18601,1.18604,21
EURUSD,1605659160,1.18604,1.18608,1.18604,1.18607,21
EURUSD,1605659220,1.18606,1.1861,1.18597,1.18609,20
EURUSD,1605659280,1.18609,1.18609,1.18602,1.18603,21
EURUSD,1605659340,1.18605,1.18608,1.18602,1.18608,21
EURUSD,1605659400,1.18608,1.18614,1.18608,1.18612,22
EURUSD,1605659460,1.18612,1.18616,1.18611,1.18612,22
EURUSD,1605659520,1.18612,1.18617,1.18612,1.18615,22
EURUSD,1605659580,1.18615,1.18622,1.18612,1.18619,21
EURUSD,1605659640,1.18619,1.18621,1.18618,1.18618,21
EURUSD,1605659700,1.18618,1.1862,1.18611,1.18619,20
EURUSD,1605659760,1.18618,1.18618,1.18615,1.18616,21
EURUSD,1605659820,1.18616,1.18618,1.18616,1.18618,20
EURUSD,1605659880,1.18618,1.18621,1.18614,1.18615,20
EURUSD,1605659940,1.18615,1.18622,1.18615,1.1862,20
EURUSD,1605660000,1.18619,1.1862,1.18614,1.18618,20
EURUSD,1605660060,1.18617,1.1862,1.18616,1.18617,19
EURUSD,1605660120,1.18617,1.18621,1.18615,1.18619,20
EURUSD,1605660180,1.18619,1.18632,1.18619,1.18632,19
EURUSD,1605660240,1.18632,1.18632,1.18625,1.18628,19
EURUSD,1605660300,1.18628,1.18628,1.18627,1.18628,20
EURUSD,1605660360,1.18627,1.18628,1.18614,1.18622,20
EURUSD,1605660420,1.18622,1.1862300000000001,1.18617,1.18618,21
EURUSD,1605660480,1.18618,1.1862300000000001,1.18617,1.1862300000000001,21
EURUSD,1605660540,1.1862300000000001,1.1862300000000001,1.18621,1.18621,21
EURUSD,1605660600,1.18621,1.18622,1.18619,1.18621,21
EURUSD,1605660660,1.18621,1.18621,1.18619,1.1862,21
EURUSD,1605660720,1.1862,1.18621,1.18615,1.18616,22
EURUSD,1605660780,1.18616,1.18627,1.18616,1.18625,20
EURUSD,1605660840,1.18625,1.18625,1.1862300000000001,1.1862300000000001,21
EURUSD,1605660900,1.18622,1.18628,1.18622,1.18626,21
EURUSD,1605660960,1.18626,1.18628,1.18624,1.18624,20
EURUSD,1605661020,1.18624,1.18627,1.18624,1.18626,21
EURUSD,1605661080,1.18626,1.18626,1.18618,1.18622,20
EURUSD,1605661140,1.18622,1.18627,1.18621,1.18626,21
