symbol,timestamp,open,high,low,close,spread
GBPUSD,1605657600,1.32602,1.32602,1.32545,1.32585,33
GBPUSD,1605657900,1.32585,1.3259,1.32548,1.32566,42
GBPUSD,1605658200,1.32566,1.32566,1.32544,1.32559,36
GBPUSD,1605658500,1.32561,1.32575,1.32555,1.3256000000000001,26
GBPUSD,1605658800,1.3256000000000001,1.3256299999999999,1.32522,1.32532,22
GBPUSD,1605659100,1.32532,1.32547,1.32522,1.32546,25
GBPUSD,1605659400,1.32545,1.32564,1.32541,1.3256000000000001,27
GBPUSD,1605659700,1.32559,1.3256299999999999,1.32546,1.32554,26
GBPUSD,1605660000,1.32554,1.32595,1.32537,1.3259,23
GBPUSD,1605660300,1.3259,1.32596,1.32577,1.32584,26
GBPUSD,1605660600,1.32585,1.3259,1.3255,1.32559,23
GBPUSD,1605660900,1.32559,1.32572,1.32547,1.32551,24
GBPUSD,1605661200,1.32551,1.32599,1.32549,1.32595,23
GBPUSD,1605661500,1.32595,1.32595,1.32545,1.3256000000000001,23
GBPUSD,1605661800,1.32561,1.32572,1.32537,1.32539,24
GBPUSD,1605662100,1.32539,1.32549,1.32523,1.3253,24
GBPUSD,1605662400,1.3253,1.32552,1.32523,1.32545,24
GBPUSD,1605662700,1.32546,1.32548,1.325,1.32515,24
GBPUSD,1605663000,1.32515,1.32532,1.32501,1.32532,23
GBPUSD,1605663300,1.3253,1.32539,1.3250899999999999,1.32516,24
GBPUSD,1605663600,1.32517,1.32521,1.32467,1.32488,22
GBPUSD,1605663900,1.32488,1.32507,1.32449,1.32457,22
GBPUSD,1605664200,1.32458,1.32488,1.32455,1.32477,23
GBPUSD,1605664500,1.32476,1.32485,1.3246,1.32476,22
GBPUSD,1605664800,1.32476,1.3247900000000001,1.32449,1.32459,22
GBPUSD,1605665100,1.32459,1.3247,1.32429,1.32435,22
GBPUSD,1605665400,1.32435,1.32466,1.3243,1.32455,23
GBPUSD,1605665700,1.32456,1.32504,1.32455,1.32485,24
GBPUSD,1605666000,1.32485,1.32517,1.3247,1.32485,23
GBPUSD,1605666300,1.32484,1.32518,1.32477,1.3251,24
GBPUSD,1605666600,1.32512,1.32512,1.32476,1.32486,25
GBPUSD,1605666900,1.32486,1.32489,1.3244799999999999,1.32449,24
GBPUSD,1605667200,1.3244799999999999,1.3246,1.32428,1.32429,25
GBPUSD,1605667500,1.32429,1.32456,1.32423,1.32444,23
GBPUSD,1605667800,1.32444,1.32468,1.32444,1.32449,23
GBPUSD,1605668100,1.32449,1.32463,1.3244500000000001,1.32459,25
